study,year,location,state,elevation,region,inc_check,fungicide2,design_inc,mean_inc,mean_inc_qmr,mean_inc_sd
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,DIMO+BOSC-2,1,11.88,80.7041266,0.7216878365
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,FLUO-2,1,15.63,80.7041266,7.180703308
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,FLUZ-2,1,11.25,80.7041266,3.679900361
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,PROCY-2,1,8.44,80.7041266,3.125
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,TIOF-4,1,33.44,80.7041266,13.0453935
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,AACHECK-0,1,10.5,1.5480769,2.645751311
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,CARB+PROCY-2,1,0.5,1.5480769,1
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,DIMO+BOSC-2,1,1.5,1.5480769,1
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,FLUO-2,1,2.25,1.5480769,0.9574271078
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,FLUZ-2,1,3.5,1.5480769,1.290994449
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,PROCY-2,1,2.75,1.5480769,1.258305739
44,2013/2014,Ponta Grossa,PR,1021,Southern,10.5,TIOF-4,1,2.5,1.5480769,0.5773502692
45,2014/2015,Rio Verde,GO,921,Northern,27.25,AACHECK-0,1,27.25,44.0852597,1.190238071
45,2014/2015,Rio Verde,GO,921,Northern,27.25,CARB+PROCY-2,1,6.25,44.0852597,2.783882181
