study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
31,2011/2012,Capão Bonito,SP,730,Southern,5,1,NA,NA,3656,4,FLUZ-2,3814,100117.471,404.8446331
31,2011/2012,Capão Bonito,SP,730,Southern,5,1.5,NA,NA,3656,4,DIMO+BOSC-2,3692,100117.471,578.729629
31,2011/2012,Capão Bonito,SP,730,Southern,5,1.5,NA,NA,3656,4,TIOF-4,3092,100117.471,245.3476579
31,2011/2012,Capão Bonito,SP,730,Southern,5,5,NA,NA,3656,4,AACHECK-0,3656,100117.471,766.9618326
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,0.5,NA,NA,4111.81,4,DIMO+BOSC-2,4211.87,34965.78,348.364457
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,0.5,NA,NA,4111.81,4,FLUO-2,4354.93,34965.78,269.2657933
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,0.5,NA,NA,4111.81,4,FLUZ-2,4152.93,34965.78,192.5351175
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,0.5,NA,NA,4111.81,4,TIOF-4,4079.58,34965.78,428.6285002
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,1.25,NA,NA,4111.81,4,PROCY-2,4161.85,34965.78,313.5445724
32,2012/2013,Chapadão do Sul,MS,813,Northern,7.5,7.5,NA,NA,4111.81,4,AACHECK-0,4111.81,34965.78,221.6684647
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,9.06,NA,NA,2187.38,3,DIMO+BOSC-2,2199.24,26214.69,94.08138931
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,9.38,NA,NA,2187.38,3,PROCY-2,2236.55,26214.69,189.7361954
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,11.25,NA,NA,2187.38,3,FLUO-2,2317.91,26214.69,67.68688649
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,11.25,NA,NA,2187.38,3,FLUZ-2,2129.28,26214.69,172.5175653
34,2012/2013,Ponta Grossa,PR,1021,Southern,25.94,25.94,NA,NA,2187.38,3,AACHECK-0,2187.38,26214.69,203.6333494
35,2012/2013,Jataí,GO,749,Northern,12.13,0.5,3580.77,107.69,3167.94,3,DIMO+BOSC-2,3209.4,113974.07,521.7254011
