study,year,location,state,elevation,region,fungicide2,inc_check,scl_check,design_scl,mean_scl,mean_scl_qmr,mean_scl_sd
18,2010/2011,Ponta Grossa,PR,1021,Southern,DIMO+BOSC-2,64.5,9380,5,3270,7233103.39,2094.895963
18,2010/2011,Ponta Grossa,PR,1021,Southern,FLUO-2,64.5,9380,5,5280,7233103.39,4534.650498
18,2010/2011,Ponta Grossa,PR,1021,Southern,FLUZ-2,64.5,9380,5,2050,7233103.39,1711.227594
18,2010/2011,Ponta Grossa,PR,1021,Southern,PROCY-2,64.5,9380,5,900,7233103.39,883.1130101
18,2010/2011,Ponta Grossa,PR,1021,Southern,TIOF-4,64.5,9380,5,5120,7233103.39,625.919352
19,2010/2011,Marilândia do Sul,PR,868,Southern,AACHECK-0,15.4,5700,5,5700,4084133.53,6000
19,2010/2011,Marilândia do Sul,PR,868,Southern,DIMO+BOSC-2,15.4,5700,5,660,4084133.53,327.1594922
19,2010/2011,Marilândia do Sul,PR,868,Southern,FLUO-2,15.4,5700,5,2800,4084133.53,1819.697777
19,2010/2011,Marilândia do Sul,PR,868,Southern,FLUZ-2,15.4,5700,5,1100,4084133.53,2110.884491
19,2010/2011,Marilândia do Sul,PR,868,Southern,PROCY-2,15.4,5700,5,800,4084133.53,189.2969449
19,2010/2011,Marilândia do Sul,PR,868,Southern,TIOF-4,15.4,5700,5,2360,4084133.53,3763.416001
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,AACHECK-0,42.1,3277,5,3277,896316.45,1989.044342
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,DIMO+BOSC-2,42.1,3277,5,863,896316.45,462.2831699
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,FLUO-2,42.1,3277,5,1894,896316.45,1304.189563
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,FLUZ-2,42.1,3277,5,2266,896316.45,446.1992268
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,PROCY-2,42.1,3277,5,1606,896316.45,1303.612768
20,2011/2012,São Miguel do Passa Quatro,GO,1027,Northern,TIOF-4,42.1,3277,5,3062,896316.45,585.9371944
21,2011/2012,Goianira,GO,737,Northern,AACHECK-0,34.7,3618,5,3618,101236.56,358.2037072
21,2011/2012,Goianira,GO,737,Northern,DIMO+BOSC-2,34.7,3618,5,24,101236.56,48.75
21,2011/2012,Goianira,GO,737,Northern,FLUO-2,34.7,3618,5,278,101236.56,274.7148142
21,2011/2012,Goianira,GO,737,Northern,FLUZ-2,34.7,3618,5,2308,101236.56,610.1314749
21,2011/2012,Goianira,GO,737,Northern,PROCY-2,34.7,3618,5,351,101236.56,126.5652006
21,2011/2012,Goianira,GO,737,Northern,TIOF-4,34.7,3618,5,2774,101236.56,269.022149
22,2011/2012,Uberlândia,MG,947,Northern,AACHECK-0,46.3,4308,5,4308,1707125.76,1520.58788
22,2011/2012,Uberlândia,MG,947,Northern,DIMO+BOSC-2,46.3,4308,5,1242,1707125.76,159.5349143
22,2011/2012,Uberlândia,MG,947,Northern,FLUO-2,46.3,4308,5,596,1707125.76,235.0384135
22,2011/2012,Uberlândia,MG,947,Northern,FLUZ-2,46.3,4308,5,1771,1707125.76,658.4651769
22,2011/2012,Uberlândia,MG,947,Northern,PROCY-2,46.3,4308,5,1604,1707125.76,731.74544
22,2011/2012,Uberlândia,MG,947,Northern,TIOF-4,46.3,4308,5,3290,1707125.76,1589.363517
27,2011/2012,São Desiderio,BA,844,Northern,AACHECK-0,100,8892,5,8892,267407.73,1395.864368
27,2011/2012,São Desiderio,BA,844,Northern,DIMO+BOSC-2,100,8892,5,1051.75,267407.73,204.1802717
27,2011/2012,São Desiderio,BA,844,Northern,FLUO-2,100,8892,5,822,267407.73,236.0677869
27,2011/2012,São Desiderio,BA,844,Northern,FLUZ-2,100,8892,5,873.5,267407.73,260.6933064
27,2011/2012,São Desiderio,BA,844,Northern,PROCY-2,100,8892,5,756,267407.73,83.47454702
27,2011/2012,São Desiderio,BA,844,Northern,TIOF-4,100,8892,5,1520,267407.73,277.5127625
28,2011/2012,Montividiu,GO,921,Northern,AACHECK-0,24.38,1226.1,5,1226.1,79746.68,774.3066834
28,2011/2012,Montividiu,GO,921,Northern,DIMO+BOSC-2,24.38,1226.1,5,50.25,79746.68,60.3
28,2011/2012,Montividiu,GO,921,Northern,FLUO-2,24.38,1226.1,5,120.6,79746.68,143.0728486
28,2011/2012,Montividiu,GO,921,Northern,FLUZ-2,24.38,1226.1,5,40.2,79746.68,56.85138521
28,2011/2012,Montividiu,GO,921,Northern,PROCY-2,24.38,1226.1,5,402,79746.68,378.5351767
28,2011/2012,Montividiu,GO,921,Northern,TIOF-4,24.38,1226.1,5,231.15,79746.68,195.2219506
30,2011/2012,Faxinal,PR,991,Southern,AACHECK-0,36.75,14956,5,14956,22602159.64,8517.210811
30,2011/2012,Faxinal,PR,993,Southern,DIMO+BOSC-2,36.75,14956,5,4280,22602159.64,1563.201842
